Iter;Result;S1_AVG_SLA;S1_MIN_SLA;S1_MAX_SLA;S1_VAR_SLA;S1_STD_SLA;S1_LB_FP;S1_DNS_FP;S1_LB_ACT;S1_DNS_ACT;S2_AVG_SLA;S2_MIN_SLA;S2_MAX_SLA;S2_VAR_SLA;S2_STD_SLA;S2_LB_FP;S2_DNS_FP;S2_LB_ACT;S2_DNS_ACT
1;79288,0;0,649;0,1053;1,0;966,0;0,311;121;225;46;96;0,594;0,172;1,0;673,0;0,259;121;225;46;96
2;28041,0;0,868;0,385;1,0;318,0;0,178;164;310;54;96;0,7998;0,239;1,0;763,0;0,276;161;308;52;96
3;2502,0;0,943;0,417;1,0;130,4;0,114;189;367;42;96;0,966;0,748;1,0;46,8;0,0684;192;364;48;96
4;1609,0;0,9402;0,714;1,0;95,5;0,0977;203;387;52;96;0,971;0,833;1,0;28,5;0,0534;206;377;46;96
5;715,0;0,997;0,958;1,0;0,791;0,00889;225;399;48;96;0,967;0,6071;1,0;66,6;0,0816;223;383;54;96
6;0,24;0,995;0,927;1,0;2,37;0,0154;237;392;48;96;0,999;0,985;1,0;0,0733;0,00271;240;408;42;96
7;1,3;0,9702;0,777;1,0;42,96;0,0655;241;381;48;94;0,999;0,985;1,0;0,0733;0,00271;247;407;54;96
8;536,0;0,9702;0,833;1,0;29,5;0,0543;244;383;46;102;0,999;0,965;1,0;0,388;0,00623;263;416;42;96
9;0,034;1,0;1,0;1,0;0;0;237;405;54;90;0,999;0,976;1,0;0,186;0,00432;257;429;54;96
10;536,0;0,997;0,958;1,0;0,791;0,00889;213;433;42;102;0,983;0,833;1,0;25,00000000000004;0,050000000000000044;250;436;40;96
