Iter;Result;S1_AVG_SLA;S1_MIN_SLA;S1_MAX_SLA;S1_VAR_SLA;S1_STD_SLA;S1_LB_FP;S1_DNS_FP;S1_LB_ACT;S1_DNS_ACT;S2_AVG_SLA;S2_MIN_SLA;S2_MAX_SLA;S2_VAR_SLA;S2_STD_SLA;S2_LB_FP;S2_DNS_FP;S2_LB_ACT;S2_DNS_ACT
1;61433,0;0,749;0,2204;1,0;860,2;0,293;116;225;36;70;0,682;0,222;1,0;789,5;0,281;111;225;34;72
2;13398,0;0,9045;0,493;1,0;199,0;0,141;155;312;36;78;0,886;0,562;1,0;163,0;0,128;152;313;40;72
3;3930,0;0,946;0,417;1,0;129,9;0,114;185;355;36;66;0,957;0,714;1,0;56,4;0,0751;195;379;36;72
4;0,91;0,981;0,875;1,0;14,9;0,0385;193;389;36;78;0,997;0,955;1,0;0,771;0,00878;201;398;36;72
5;357,0;0,994;0,833;1,0;9,013;0,030022;206;372;36;66;1,0;1,0;1,0;0;0;205;407;36;72
6;0,0298;0,999;0,979;1,0;0,1399;0,00374;238;396;36;78;1,0;1,0;1,0;0;0;223;437;36;72
7;0;1,0;1,0;1,0;0;0;259;406;36;66;1,0;1,0;1,0;0;0;253;444;36;72
8;0,12;0,997;0,951;1,0;0,917;0,00957;282;420;36;78;1,0;1,0;1,0;0;0;258;440;36;72
9;0,18;0,998;0,927;1,0;1,71;0,0131;303;451;36;66;0,998;0,946;1,0;0,925;0,00962;259;472;36;72
10;0;1,0;1,0;1,0;0;0;322;474;36;78;1,0;1,0;1,0;0;0;287;513;36;72
