Iter;Result;S1_AVG_SLA;S1_MIN_SLA;S1_MAX_SLA;S1_VAR_SLA;S1_STD_SLA;S1_LB_FP;S1_DNS_FP;S1_LB_ACT;S1_DNS_ACT;S2_AVG_SLA;S2_MIN_SLA;S2_MAX_SLA;S2_VAR_SLA;S2_STD_SLA;S2_LB_FP;S2_DNS_FP;S2_LB_ACT;S2_DNS_ACT
1;45897,0;0,8066;0,278;1,0;607,6;0,246;118;224;24;48;0,777;0,345;1,0;545,0;0,233;122;225;24;48
2;5540,0;0,943;0,562;1,0;145,0;0,1203;155;294;24;48;0,936;0,554;1,0;148,0;0,122;163;308;24;48
3;1,8;0,977;0,854;1,0;21,8;0,0467;183;345;24;48;0,981;0,847;1,0;16,2;0,04028;179;364;24;48
4;0,45;0,9896;0,917;1,0;5,14;0,0227;183;376;24;48;1,0;1,0;1,0;0;0;183;374;24;48
5;0,0298;0,999;0,979;1,0;0,1399;0,00374;186;388;24;48;1,0;1,0;1,0;0;0;185;377;24;48
6;0,31;0,999;0,979;1,0;0,1399;0,00374;189;374;24;48;0,993;0,925;1,0;2,99;0,0173;187;386;24;48
7;0;1,0;1,0;1,0;0;0;228;378;24;48;1,0;1,0;1,0;0;0;206;416;24;48
8;0;1,0;1,0;1,0;0;0;260;411;24;48;1,0;1,0;1,0;0;0;238;423;24;48
9;0;1,0;1,0;1,0;0;0;295;463;24;48;1,0;1,0;1,0;0;0;278;442;24;48
10;0;1,0;1,0;1,0;0;0;338;494;24;48;1,0;1,0;1,0;0;0;300;471;24;48
