Iter;Result;S1_AVG_SLA;S1_MIN_SLA;S1_MAX_SLA;S1_VAR_SLA;S1_STD_SLA;S1_LB_FP;S1_DNS_FP;S1_LB_ACT;S1_DNS_ACT;S2_AVG_SLA;S2_MIN_SLA;S2_MAX_SLA;S2_VAR_SLA;S2_STD_SLA;S2_LB_FP;S2_DNS_FP;S2_LB_ACT;S2_DNS_ACT
1;30718,0;0,867;0,365;1,0;379,0;0,195;123;225;12;24;0,829;0,385;1,0;392,0;0,198;112;225;12;24
2;2504,0;0,943;0,646;1,0;111,0;0,1054;163;296;12;24;0,949;0,593;1,0;116,0;0,1077;132;300;12;24
3;1,5;0,977;0,854;1,0;21,8;0,0467;170;314;12;24;0,988;0,894;1,0;7,495;0,0274;146;331;12;24
4;536,0;0,993;0,938;1,0;2,38;0,0154;178;329;12;24;0,994;0,833;1,0;8,97;0,0299;183;354;12;24
5;0,0298;0,999;0,979;1,0;0,1399;0,00374;184;334;12;24;1,0;1,0;1,0;0;0;200;360;12;24
6;0;1,0;1,0;1,0;0;0;221;343;12;24;1,0;1,0;1,0;0;0;233;387;12;24
7;0;1,0;1,0;1,0;0;0;267;360;12;24;1,0;1,0;1,0;0;0;260;429;12;24
8;0;1,0;1,0;1,0;0;0;302;395;12;24;1,0;1,0;1,0;0;0;281;442;12;24
9;0;1,0;1,0;1,0;0;0;303;400;12;24;1,0;1,0;1,0;0;0;291;439;12;24
10;0;1,0;1,0;1,0;0;0;320;408;12;24;1,0;1,0;1,0;0;0;315;441;12;24
